미국 USD,"1,170.20","1,190.67","1,149.73","1,181.60","1,158.80",1.000
유럽연합 EUR,"1,321.51","1,347.80","1,295.22","1,334.72","1,308.30",1.129
일본 JPY (100엔),"1,087.60","1,106.63","1,068.57","1,098.25","1,076.95",0.929
중국 CNY,169.91,178.40,161.42,171.60,168.22,0.145
홍콩 HKD,150.06,153.01,147.11,151.56,148.56,0.128
대만 TWD,37.65,42.58,35.02,0.00,0.00,0.032
영국 GBP,"1,474.04","1,503.07","1,445.01","1,488.78","1,459.30",1.260
오만 OMR,"3,039.56","3,310.08","2,857.19",0.00,0.00,2.598
캐나다 CAD,893.49,911.09,875.89,902.42,884.56,0.764
스위스 CHF,"1,189.59","1,213.02","1,166.16","1,201.48","1,177.70",1.017
스웨덴 SEK,125.42,128.49,122.35,126.67,124.17,0.107
호주 AUD,817.79,833.90,801.68,825.96,809.62,0.699
뉴질랜드 NZD,781.23,796.62,765.84,789.04,773.42,0.668
체코 CZK,51.93,56.34,47.26,52.50,51.36,0.044
칠레 CLP,1.72,1.85,1.59,0.00,0.00,0.002
터키 TRY,207.01,0.00,0.00,209.28,204.74,0.177
몽골 MNT,0.44,0.00,0.00,0.00,0.00,0.000
이스라엘 ILS,327.20,359.92,301.03,0.00,0.00,0.280
덴마크 DKK,177.05,181.38,172.72,178.82,175.28,0.151
노르웨이 NOK,136.62,139.96,133.28,137.98,135.26,0.117
사우디아라비아 SAR,312.04,331.69,290.51,315.16,308.92,0.267
쿠웨이트 KWD,"3,851.88","4,102.25","3,543.73","3,890.39","3,813.37",3.292
바레인 BHD,"3,103.98","3,302.63","2,855.67","3,135.01","3,072.95",2.653
아랍에미리트 AED,318.58,336.10,296.60,321.76,315.40,0.272
요르단 JOD,"1,650.49","1,797.38","1,518.46",0.00,0.00,1.410
이집트 EGP,70.32,0.00,0.00,0.00,0.00,0.060
태국 THB,38.25,40.16,35.96,38.63,37.87,0.033
싱가포르 SGD,863.33,880.51,846.15,871.96,854.70,0.738
말레이시아 MYR,282.83,300.64,261.91,0.00,280.01,0.242
인도네시아 IDR 100,8.28,8.85,7.46,8.36,8.20,0.007
카타르 QAR,321.40,0.00,0.00,0.00,0.00,0.275
카자흐스탄 KZT,3.06,0.00,0.00,0.00,0.00,0.003
브루나이 BND,863.33,897.86,811.54,0.00,0.00,0.738
인도 INR,16.99,0.00,0.00,0.00,0.00,0.015
파키스탄 PKR,7.48,0.00,0.00,0.00,0.00,0.006
방글라데시 BDT,13.85,0.00,0.00,0.00,0.00,0.012
필리핀 PHP,22.86,25.14,20.99,23.08,22.64,0.020
멕시코 MXN,61.40,67.54,56.25,62.01,60.79,0.053
브라질 BRL,304.29,335.32,279.95,0.00,300.64,0.260
베트남 VND 100,5.04,5.63,4.45,5.09,4.99,0.004
남아프리카 공화국 ZAR,83.07,88.05,76.43,84.06,82.08,0.071
러시아 RUB,18.46,19.75,16.43,18.64,18.28,0.016
헝가리 HUF,4.09,4.47,3.77,4.13,4.05,0.004
폴란드 PLN,311.38,336.29,286.47,314.80,307.96,0.266
