date,tradePrice,change,changePrice,accTradeVolume,accTradePrice,individualStraightPurchasePrice,foreignStraightPurchasePrice,institutionStraightPurchasePrice
2019-12-27 00:00:00,2204.21,RISE,6.28,490167,5429665,192509617780,64174016528,-279035235598
2019-12-26 00:00:00,2197.93,RISE,7.85,571309,4795109,-467323867609,-40140907947,460475860338
2019-12-24 00:00:00,2190.08,FALL,13.63,569967,4756454,-108132106245,-166986286315,258380732062
2019-12-23 00:00:00,2203.71,FALL,0.47,502034,4734276,-321881133688,-48941342493,354513842375
2019-12-20 00:00:00,2204.18,RISE,7.62,646682,5020842,-322100984363,155795011754,138946531255
2019-12-19 00:00:00,2196.56,RISE,1.8,643143,5262211,-163966770006,249140767820,-108299101250
2019-12-18 00:00:00,2194.76,FALL,0.92,591106,5519070,-55997786452,383323629368,-335847364879
2019-12-17 00:00:00,2195.68,RISE,27.53,599534,6380891,-529187713228,513414323996,11604645050
2019-12-16 00:00:00,2168.15,FALL,2.1,377053,4561208,-214873317383,-191411993552,378053168610
2019-12-13 00:00:00,2170.25,RISE,32.9,540027,6253215,-989159288330,513911365518,479693826189
